fonte,is_synthetic,player_id,stagione,squadra,presenze,minuti,gol,assist,xG,xA,fantamedia,rigori_battuti
fixture_sintetica_v1,True,P0026,2025/26,SQ01,21,1230,2,0,1.72,0.0,6.81,0
fixture_sintetica_v1,True,P0027,2024/25,SQ01,13,852,3,1,2.96,1.14,6.88,0
fixture_sintetica_v1,True,P0027,2025/26,SQ01,15,910,2,2,2.0,1.83,6.53,0
fixture_sintetica_v1,True,P0028,2024/25,SQ01,17,1325,1,0,0.87,0.0,6.36,0
fixture_sintetica_v1,True,P0028,2025/26,SQ01,19,1579,1,0,0.99,0.0,6.64,0
fixture_sintetica_v1,True,P0029,2024/25,SQ01,15,957,0,1,0.0,1.05,6.85,0
fixture_sintetica_v1,True,P0029,2025/26,SQ01,17,1237,5,0,4.14,0.0,6.69,0
fixture_sintetica_v1,True,P0030,2024/25,SQ01,26,1282,7,3,8.1,2.52,7.37,0
fixture_sintetica_v1,True,P0030,2025/26,SQ01,21,1644,7,2,6.76,2.22,7.89,0
fixture_sintetica_v1,True,P0031,2024/25,SQ02,28,1432,0,0,0.0,0.0,7.81,0
fixture_sintetica_v1,True,P0031,2025/26,SQ02,4,227,0,0,0.0,0.0,7.05,0
fixture_sintetica_v1,True,P0032,2024/25,SQ02,21,1079,0,0,0.0,0.0,6.92,0
fixture_sintetica_v1,True,P0032,2025/26,SQ02,15,1071,0,0,0.0,0.0,7.18,0
fixture_sintetica_v1,True,P0033,2024/25,SQ02,27,1809,0,0,0.0,0.0,8.09,0
fixture_sintetica_v1,True,P0033,2025/26,SQ02,28,1420,0,0,0.0,0.0,7.66,0
fixture_sintetica_v1,True,P0034,2024/25,SQ02,18,1000,0,0,0.0,0.0,7.09,0
fixture_sintetica_v1,True,P0034,2025/26,SQ02,24,1420,0,0,0.0,0.0,7.03,0
fixture_sintetica_v1,True,P0035,2024/25,SQ02,17,1403,0,0,0.0,0.0,7.13,0
fixture_sintetica_v1,True,P0035,2025/26,SQ02,11,621,0,0,0.0,0.0,7.45,0
fixture_sintetica_v1,True,P0036,2024/25,SQ02,5,330,1,0,1.1,0.0,7.28,0
fixture_sintetica_v1,True,P0036,2025/26,SQ02,23,1822,2,0,1.76,0.0,7.03,0
fixture_sintetica_v1,True,P0037,2024/25,SQ02,12,683,0,1,0.0,1.29,7.3,0
fixture_sintetica_v1,True,P0037,2025/26,SQ02,14,1027,0,0,0.0,0.0,7.63,0
fixture_sintetica_v1,True,P0038,2024/25,SQ02,19,1305,0,0,0.0,0.0,6.24,0
fixture_sintetica_v1,True,P0038,2025/26,SQ02,20,1407,1,0,1.26,0.0,6.4,0
fixture_sintetica_v1,True,P0039,2024/25,SQ02,6,467,0,0,0.0,0.0,6.84,0
fixture_sintetica_v1,True,P0039,2025/26,SQ02,7,594,0,1,0.0,1.05,6.95,0
fixture_sintetica_v1,True,P0040,2024/25,SQ02,16,1215,0,0,0.0,0.0,6.68,0
fixture_sintetica_v1,True,P0040,2025/26,SQ02,9,673,0,0,0.0,0.0,6.61,0
fixture_sintetica_v1,True,P0041,2024/25,SQ02,9,624,0,0,0.0,0.0,6.83,0
fixture_sintetica_v1,True,P0041,2025/26,SQ02,21,1864,0,0,0.0,0.0,6.49,0
fixture_sintetica_v1,True,P0042,2024/25,SQ02,4,327,0,0,0.0,0.0,7.03,0
fixture_sintetica_v1,True,P0042,2025/26,SQ02,18,962,0,0,0.0,0.0,7.13,0
fixture_sintetica_v1,True,P0043,2024/25,SQ02,17,1283,0,0,0.0,0.0,6.82,0
fixture_sintetica_v1,True,P0043,2025/26,SQ02,22,1286,0,0,0.0,0.0,6.99,0
fixture_sintetica_v1,True,P0044,2024/25,SQ02,29,1958,2,2,1.79,2.55,8.24,0
fixture_sintetica_v1,True,P0044,2025/26,SQ02,25,1273,3,5,3.4,4.37,7.58,0
fixture_sintetica_v1,True,P0045,2024/25,SQ02,22,1283,0,1,0.0,0.87,7.13,0
fixture_sintetica_v1,True,P0045,2025/26,SQ02,11,518,0,0,0.0,0.0,7.07,0
fixture_sintetica_v1,True,P0046,2024/25,SQ20,7,621,0,0,0.0,0.0,6.28,0
fixture_sintetica_v1,True,P0046,2025/26,SQ02,21,1547,1,0,1.03,0.0,6.69,0
fixture_sintetica_v1,True,P0047,2024/25,SQ02,8,571,0,0,0.0,0.0,6.41,0
fixture_sintetica_v1,True,P0047,2025/26,SQ02,11,934,0,0,0.0,0.0,6.48,0
fixture_sintetica_v1,True,P0048,2024/25,SQ02,7,435,2,1,2.28,1.08,7.4,0
fixture_sintetica_v1,True,P0048,2025/26,SQ02,14,952,2,1,2.34,0.86,7.26,0
fixture_sintetica_v1,True,P0049,2024/25,SQ02,3,198,1,0,1.22,0.0,7.23,0
fixture_sintetica_v1,True,P0049,2025/26,SQ02,5,384,0,0,0.0,0.0,7.36,0
fixture_sintetica_v1,True,P0050,2024/25,SQ02,21,1053,2,4,1.64,3.35,7.47,0
fixture_sintetica_v1,True,P0050,2025/26,SQ02,6,492,0,3,0.0,2.94,7.73,0
fixture_sintetica_v1,True,P0051,2024/25,SQ02,26,1616,3,3,2.69,3.13,7.21,0
fixture_sintetica_v1,True,P0051,2025/26,SQ02,20,1037,0,1,0.0,1.09,7.63,0
fixture_sintetica_v1,True,P0052,2024/25,SQ02,3,167,0,0,0.0,0.0,7.05,0
fixture_sintetica_v1,True,P0052,2025/26,SQ02,17,1483,0,1,0.0,1.02,6.54,0
fixture_sintetica_v1,True,P0053,2024/25,SQ02,16,1308,3,0,2.61,0.0,7.18,0
fixture_sintetica_v1,True,P0053,2025/26,SQ02,14,736,3,1,3.45,1.01,7.32,0
fixture_sintetica_v1,True,P0054,2024/25,SQ02,26,2150,5,1,6.01,1.21,7.46,0
fixture_sintetica_v1,True,P0054,2025/26,SQ02,6,341,0,1,0.0,1.23,7.82,0
fixture_sintetica_v1,True,P0055,2024/25,SQ02,19,1381,2,1,1.84,0.97,7.32,0
fixture_sintetica_v1,True,P0055,2025/26,SQ02,23,1927,0,1,0.0,0.94,6.85,0
fixture_sintetica_v1,True,P0056,2024/25,SQ02,7,481,1,1,0.98,1.23,7.33,0
fixture_sintetica_v1,True,P0056,2025/26,SQ02,11,969,1,1,0.87,1.25,7.68,0
fixture_sintetica_v1,True,P0057,2024/25,SQ02,25,1179,3,2,3.68,1.73,7.19,0
fixture_sintetica_v1,True,P0057,2025/26,SQ02,22,1732,7,0,6.15,0.0,7.42,0
fixture_sintetica_v1,True,P0058,2024/25,SQ02,17,1141,1,0,0.88,0.0,6.54,0
fixture_sintetica_v1,True,P0058,2025/26,SQ02,9,456,3,1,3.74,0.93,6.83,0
fixture_sintetica_v1,True,P0059,2024/25,SQ02,17,954,0,1,0.0,1.14,6.15,0
fixture_sintetica_v1,True,P0059,2025/26,SQ02,14,668,1,0,1.07,0.0,6.54,0
fixture_sintetica_v1,True,P0060,2024/25,SQ02,23,1949,10,3,11.67,3.65,7.35,0
fixture_sintetica_v1,True,P0060,2025/26,SQ02,18,892,3,0,3.08,0.0,7.28,0
fixture_sintetica_v1,True,P0061,2024/25,SQ03,16,725,0,0,0.0,0.0,6.66,0
fixture_sintetica_v1,True,P0061,2025/26,SQ03,16,1033,0,0,0.0,0.0,6.08,0
fixture_sintetica_v1,True,P0062,2024/25,SQ03,17,950,0,0,0.0,0.0,7.61,0
fixture_sintetica_v1,True,P0062,2025/26,SQ03,18,1315,0,0,0.0,0.0,7.19,0
fixture_sintetica_v1,True,P0063,2024/25,SQ03,27,1550,0,0,0.0,0.0,7.76,0
fixture_sintetica_v1,True,P0063,2025/26,SQ03,18,1306,0,0,0.0,0.0,7.49,0
fixture_sintetica_v1,True,P0064,2024/25,SQ03,18,1521,0,0,0.0,0.0,6.16,0
fixture_sintetica_v1,True,P0064,2025/26,SQ03,13,635,0,0,0.0,0.0,6.58,0
fixture_sintetica_v1,True,P0065,2024/25,SQ03,13,937,1,0,0.82,0.0,7.02,0
fixture_sintetica_v1,True,P0065,2025/26,SQ03,22,1741,0,0,0.0,0.0,6.97,0
fixture_sintetica_v1,True,P0066,2024/25,SQ03,5,300,0,0,0.0,0.0,6.62,0
fixture_sintetica_v1,True,P0066,2025/26,SQ03,19,1250,0,0,0.0,0.0,6.98,0
fixture_sintetica_v1,True,P0067,2024/25,SQ03,10,597,0,0,0.0,0.0,6.75,0
fixture_sintetica_v1,True,P0067,2025/26,SQ03,9,621,0,0,0.0,0.0,7.3,0
fixture_sintetica_v1,True,P0068,2024/25,SQ03,15,1277,0,0,0.0,0.0,6.25,0
fixture_sintetica_v1,True,P0068,2025/26,SQ03,18,1039,0,0,0.0,0.0,6.82,0
fixture_sintetica_v1,True,P0069,2024/25,SQ03,5,356,0,0,0.0,0.0,6.76,0
fixture_sintetica_v1,True,P0069,2025/26,SQ03,20,1546,1,0,1.2,0.0,6.93,0
fixture_sintetica_v1,True,P0070,2024/25,SQ03,17,1392,1,0,1.07,0.0,7.94,0
fixture_sintetica_v1,True,P0070,2025/26,SQ03,14,852,0,0,0.0,0.0,8.2,0
fixture_sintetica_v1,True,P0071,2024/25,SQ03,19,1364,0,0,0.0,0.0,6.26,0
fixture_sintetica_v1,True,P0071,2025/26,SQ03,10,754,0,0,0.0,0.0,6.53,0
fixture_sintetica_v1,True,P0072,2024/25,SQ07,10,794,0,0,0.0,0.0,6.48,0
fixture_sintetica_v1,True,P0072,2025/26,SQ03,14,742,0,0,0.0,0.0,7.1,0
fixture_sintetica_v1,True,P0073,2024/25,SQ03,14,1060,0,0,0.0,0.0,8.0,0
fixture_sintetica_v1,True,P0073,2025/26,SQ03,31,1447,0,2,0.0,2.25,8.05,0
fixture_sintetica_v1,True,P0074,2024/25,SQ03,9,664,1,2,1.07,1.82,7.83,0
fixture_sintetica_v1,True,P0074,2025/26,SQ03,11,591,1,1,1.1,0.96,7.37,0
fixture_sintetica_v1,True,P0075,2024/25,SQ03,6,469,0,0,0.0,0.0,7.19,0
fixture_sintetica_v1,True,P0075,2025/26,SQ03,21,1001,0,3,0.0,3.5,7.79,0
fixture_sintetica_v1,True,P0076,2024/25,SQ03,13,763,1,1,0.83,1.27,7.05,0
fixture_sintetica_v1,True,P0076,2025/26,SQ03,5,307,0,0,0.0,0.0,6.97,0
fixture_sintetica_v1,True,P0077,2024/25,SQ03,11,627,0,1,0.0,0.85,6.97,0
fixture_sintetica_v1,True,P0077,2025/26,SQ03,14,1181,0,0,0.0,0.0,7.36,0
fixture_sintetica_v1,True,P0078,2024/25,SQ03,19,1464,0,1,0.0,1.02,6.7,0
fixture_sintetica_v1,True,P0078,2025/26,SQ03,18,923,0,0,0.0,0.0,6.79,0
fixture_sintetica_v1,True,P0079,2024/25,SQ03,19,929,1,2,1.3,1.67,7.82,0
fixture_sintetica_v1,True,P0079,2025/26,SQ03,19,1597,1,3,1.04,2.91,7.96,0
fixture_sintetica_v1,True,P0080,2024/25,SQ03,20,1452,1,1,0.83,1.13,7.0,0
fixture_sintetica_v1,True,P0080,2025/26,SQ03,21,1139,1,0,1.08,0.0,6.66,0
fixture_sintetica_v1,True,P0081,2024/25,SQ02,22,1430,0,0,0.0,0.0,6.56,0
fixture_sintetica_v1,True,P0081,2025/26,SQ03,20,1348,2,1,2.16,0.88,6.5,0
fixture_sintetica_v1,True,P0082,2024/25,SQ03,21,1214,0,3,0.0,2.7,7.39,0
fixture_sintetica_v1,True,P0082,2025/26,SQ03,5,416,0,0,0.0,0.0,7.31,0
fixture_sintetica_v1,True,P0083,2024/25,SQ03,12,702,0,0,0.0,0.0,6.89,0
fixture_sintetica_v1,True,P0083,2025/26,SQ03,19,1206,1,1,1.22,1.22,6.48,0
fixture_sintetica_v1,True,P0084,2024/25,SQ03,15,1198,2,0,2.25,0.0,6.5,0
fixture_sintetica_v1,True,P0084,2025/26,SQ03,19,902,1,0,0.83,0.0,7.05,0
fixture_sintetica_v1,True,P0085,2024/25,SQ03,19,1012,5,4,5.55,4.4,7.15,0
fixture_sintetica_v1,True,P0085,2025/26,SQ03,8,564,1,0,1.21,0.0,7.18,0
fixture_sintetica_v1,True,P0086,2024/25,SQ03,6,392,0,0,0.0,0.0,6.07,0
fixture_sintetica_v1,True,P0086,2025/26,SQ03,10,609,1,0,1.02,0.0,6.27,0
fixture_sintetica_v1,True,P0087,2024/25,SQ03,14,901,1,1,1.16,0.87,7.65,0
fixture_sintetica_v1,True,P0087,2025/26,SQ03,12,991,4,2,4.16,2.23,7.58,0
fixture_sintetica_v1,True,P0088,2024/25,SQ03,10,876,0,1,0.0,1.28,6.25,0
fixture_sintetica_v1,True,P0088,2025/26,SQ03,17,1328,0,0,0.0,0.0,6.56,0
fixture_sintetica_v1,True,P0089,2024/25,SQ03,17,1316,2,3,2.33,2.85,8.04,0
fixture_sintetica_v1,True,P0089,2025/26,SQ03,23,2032,10,3,9.16,2.49,7.4,0
fixture_sintetica_v1,True,P0090,2024/25,SQ03,24,1206,1,0,1.08,0.0,7.69,0
fixture_sintetica_v1,True,P0090,2025/26,SQ03,22,1752,5,1,5.88,1.06,7.52,0
fixture_sintetica_v1,True,P0091,2024/25,SQ04,23,1569,0,0,0.0,0.0,6.95,0
fixture_sintetica_v1,True,P0091,2025/26,SQ04,8,544,0,0,0.0,0.0,6.89,0
fixture_sintetica_v1,True,P0092,2024/25,SQ04,13,925,0,0,0.0,0.0,6.4,0
fixture_sintetica_v1,True,P0092,2025/26,SQ04,11,810,0,0,0.0,0.0,5.87,0
fixture_sintetica_v1,True,P0093,2024/25,SQ04,7,562,0,0,0.0,0.0,7.62,0
fixture_sintetica_v1,True,P0093,2025/26,SQ04,7,515,0,0,0.0,0.0,6.98,0
fixture_sintetica_v1,True,P0094,2024/25,SQ05,19,928,0,0,0.0,0.0,7.23,0
fixture_sintetica_v1,True,P0094,2025/26,SQ04,14,834,0,0,0.0,0.0,7.78,0
fixture_sintetica_v1,True,P0095,2024/25,SQ04,16,721,1,0,0.92,0.0,7.5,0
fixture_sintetica_v1,True,P0095,2025/26,SQ04,20,914,1,1,0.98,0.94,7.95,0
fixture_sintetica_v1,True,P0096,2024/25,SQ04,12,1010,0,0,0.0,0.0,6.75,0
fixture_sintetica_v1,True,P0096,2025/26,SQ04,13,1167,1,0,1.1,0.0,6.97,0
fixture_sintetica_v1,True,P0097,2024/25,SQ04,4,240,0,0,0.0,0.0,6.67,0
fixture_sintetica_v1,True,P0097,2025/26,SQ04,4,203,0,0,0.0,0.0,7.02,0
fixture_sintetica_v1,True,P0098,2024/25,SQ04,12,969,0,0,0.0,0.0,7.06,0
fixture_sintetica_v1,True,P0098,2025/26,SQ04,21,1084,1,1,0.98,0.84,6.83,0
fixture_sintetica_v1,True,P0099,2024/25,SQ04,18,846,0,0,0.0,0.0,6.6,0
fixture_sintetica_v1,True,P0099,2025/26,SQ04,19,1135,0,0,0.0,0.0,6.73,0
fixture_sintetica_v1,True,P0100,2024/25,SQ04,17,1078,0,1,0.0,1.09,7.83,0
fixture_sintetica_v1,True,P0100,2025/26,SQ04,18,1427,0,1,0.0,0.97,7.81,0
fixture_sintetica_v1,True,P0101,2024/25,SQ04,10,626,0,0,0.0,0.0,8.23,0
fixture_sintetica_v1,True,P0101,2025/26,SQ04,7,484,0,0,0.0,0.0,7.66,0
fixture_sintetica_v1,True,P0102,2024/25,SQ04,27,1774,0,1,0.0,1.07,7.37,0
fixture_sintetica_v1,True,P0102,2025/26,SQ04,8,655,0,0,0.0,0.0,7.83,0
fixture_sintetica_v1,True,P0103,2024/25,SQ04,13,616,1,0,0.86,0.0,7.89,0
fixture_sintetica_v1,True,P0103,2025/26,SQ04,14,875,0,0,0.0,0.0,8.07,0
fixture_sintetica_v1,True,P0104,2024/25,SQ04,9,655,0,1,0.0,1.06,7.59,0
fixture_sintetica_v1,True,P0104,2025/26,SQ04,10,461,0,2,0.0,2.19,7.47,0
fixture_sintetica_v1,True,P0105,2024/25,SQ04,9,697,0,0,0.0,0.0,6.98,0
fixture_sintetica_v1,True,P0105,2025/26,SQ04,20,1436,1,1,0.92,0.82,6.95,0
fixture_sintetica_v1,True,P0106,2024/25,SQ04,12,786,1,0,1.16,0.0,8.09,0
fixture_sintetica_v1,True,P0106,2025/26,SQ04,9,708,2,0,2.41,0.0,7.63,0
fixture_sintetica_v1,True,P0107,2024/25,SQ04,18,1316,2,1,2.06,1.15,7.45,0
fixture_sintetica_v1,True,P0107,2025/26,SQ04,7,505,0,1,0.0,0.82,7.52,0
fixture_sintetica_v1,True,P0108,2024/25,SQ04,19,925,0,0,0.0,0.0,7.13,0
fixture_sintetica_v1,True,P0108,2025/26,SQ04,21,1030,0,2,0.0,2.44,7.43,0
fixture_sintetica_v1,True,P0109,2024/25,SQ04,20,1533,0,0,0.0,0.0,7.2,0
fixture_sintetica_v1,True,P0109,2025/26,SQ04,18,1181,1,2,1.2,2.26,7.18,0
fixture_sintetica_v1,True,P0110,2024/25,SQ04,12,605,1,2,1.21,2.09,7.33,0
fixture_sintetica_v1,True,P0110,2025/26,SQ04,20,1611,1,1,0.95,1.22,7.68,0
fixture_sintetica_v1,True,P0111,2024/25,SQ04,17,822,0,2,0.0,1.61,7.06,0
fixture_sintetica_v1,True,P0111,2025/26,SQ04,12,597,0,1,0.0,0.88,6.86,0
fixture_sintetica_v1,True,P0112,2024/25,SQ04,20,1537,0,0,0.0,0.0,6.77,0
fixture_sintetica_v1,True,P0112,2025/26,SQ04,16,1405,0,0,0.0,0.0,6.55,0
fixture_sintetica_v1,True,P0113,2024/25,SQ04,12,731,7,0,7.12,0.0,7.79,0
fixture_sintetica_v1,True,P0113,2025/26,SQ04,9,421,2,0,1.99,0.0,7.18,0
fixture_sintetica_v1,True,P0114,2024/25,SQ04,6,453,0,0,0.0,0.0,6.16,0
fixture_sintetica_v1,True,P0114,2025/26,SQ04,6,461,0,0,0.0,0.0,6.04,0
fixture_sintetica_v1,True,P0115,2024/25,SQ04,7,421,0,0,0.0,0.0,6.24,0
fixture_sintetica_v1,True,P0115,2025/26,SQ04,19,1166,1,0,1.29,0.0,6.52,0
fixture_sintetica_v1,True,P0116,2024/25,SQ04,20,1353,2,0,2.39,0.0,6.45,0
fixture_sintetica_v1,True,P0116,2025/26,SQ04,13,586,2,0,2.23,0.0,6.9,0
fixture_sintetica_v1,True,P0117,2024/25,SQ04,20,1040,5,3,4.27,3.5,7.05,0
fixture_sintetica_v1,True,P0117,2025/26,SQ04,8,533,3,0,2.44,0.0,6.89,0
fixture_sintetica_v1,True,P0118,2024/25,SQ04,23,1887,6,2,6.07,2.29,7.12,0
fixture_sintetica_v1,True,P0118,2025/26,SQ04,11,892,0,3,0.0,3.67,7.48,0
fixture_sintetica_v1,True,P0119,2024/25,SQ04,23,1980,6,2,6.07,1.76,7.33,0
fixture_sintetica_v1,True,P0119,2025/26,SQ04,23,1165,3,3,3.45,2.55,6.87,0
fixture_sintetica_v1,True,P0120,2024/25,SQ04,14,871,1,0,1.11,0.0,6.52,0
fixture_sintetica_v1,True,P0120,2025/26,SQ04,13,1056,3,1,3.69,1.26,6.5,0
fixture_sintetica_v1,True,P0121,2024/25,SQ05,21,1423,0,0,0.0,0.0,7.46,0
fixture_sintetica_v1,True,P0121,2025/26,SQ05,5,420,0,0,0.0,0.0,7.32,0
fixture_sintetica_v1,True,P0122,2024/25,SQ05,17,891,0,0,0.0,0.0,6.54,0
fixture_sintetica_v1,True,P0122,2025/26,SQ05,11,765,0,0,0.0,0.0,6.84,0
fixture_sintetica_v1,True,P0123,2024/25,SQ05,15,866,0,0,0.0,0.0,7.32,0
fixture_sintetica_v1,True,P0123,2025/26,SQ05,26,1479,0,0,0.0,0.0,7.34,0
fixture_sintetica_v1,True,P0124,2024/25,SQ05,22,1768,0,0,0.0,0.0,7.08,0
fixture_sintetica_v1,True,P0124,2025/26,SQ05,6,329,0,0,0.0,0.0,7.12,0
fixture_sintetica_v1,True,P0125,2024/25,SQ05,12,855,0,0,0.0,0.0,6.78,0
fixture_sintetica_v1,True,P0125,2025/26,SQ05,20,1222,0,0,0.0,0.0,7.31,0
fixture_sintetica_v1,True,P0126,2024/25,SQ05,21,1011,1,0,0.87,0.0,7.29,0
fixture_sintetica_v1,True,P0126,2025/26,SQ05,23,1954,0,0,0.0,0.0,7.71,0
fixture_sintetica_v1,True,P0127,2024/25,SQ05,22,1175,0,0,0.0,0.0,6.96,0
fixture_sintetica_v1,True,P0127,2025/26,SQ05,13,764,0,0,0.0,0.0,6.63,0
fixture_sintetica_v1,True,P0128,2024/25,SQ05,28,1584,0,0,0.0,0.0,7.22,0
fixture_sintetica_v1,True,P0128,2025/26,SQ05,23,1051,1,0,1.24,0.0,7.09,0
fixture_sintetica_v1,True,P0129,2024/25,SQ05,15,964,0,1,0.0,0.83,7.59,0
fixture_sintetica_v1,True,P0129,2025/26,SQ05,22,1042,2,0,2.56,0.0,7.53,0
fixture_sintetica_v1,True,P0130,2024/25,SQ05,11,509,0,0,0.0,0.0,6.69,0
fixture_sintetica_v1,True,P0130,2025/26,SQ05,18,1035,0,0,0.0,0.0,7.1,0
fixture_sintetica_v1,True,P0131,2024/25,SQ05,20,1189,0,0,0.0,0.0,6.37,0
fixture_sintetica_v1,True,P0131,2025/26,SQ05,14,838,0,0,0.0,0.0,6.98,0
fixture_sintetica_v1,True,P0132,2024/25,SQ05,16,1271,0,0,0.0,0.0,7.06,0
fixture_sintetica_v1,True,P0132,2025/26,SQ05,6,388,0,0,0.0,0.0,6.42,0
fixture_sintetica_v1,True,P0133,2024/25,SQ14,8,578,0,0,0.0,0.0,6.53,0
fixture_sintetica_v1,True,P0133,2025/26,SQ05,15,1095,0,0,0.0,0.0,6.56,0
fixture_sintetica_v1,True,P0134,2024/25,SQ05,18,1545,0,1,0.0,1.21,6.49,0
fixture_sintetica_v1,True,P0134,2025/26,SQ05,12,713,0,0,0.0,0.0,6.55,0
fixture_sintetica_v1,True,P0135,2024/25,SQ05,4,309,0,0,0.0,0.0,6.52,0
fixture_sintetica_v1,True,P0135,2025/26,SQ05,8,494,0,0,0.0,0.0,6.6,0
fixture_sintetica_v1,True,P0136,2024/25,SQ05,20,1210,2,0,2.05,0.0,7.84,0
fixture_sintetica_v1,True,P0136,2025/26,SQ05,8,554,0,1,0.0,0.93,7.83,0
fixture_sintetica_v1,True,P0137,2024/25,SQ05,12,913,0,1,0.0,0.89,7.1,0
fixture_sintetica_v1,True,P0137,2025/26,SQ05,22,1073,0,0,0.0,0.0,7.26,0
fixture_sintetica_v1,True,P0138,2024/25,SQ05,3,162,0,0,0.0,0.0,6.48,0
